mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"
53	WT	12m.3	12	26.1	18.9	19.7	0.7547893	27.59	124336.0	1.2941542038500948	-0.0901820696741801	-0.158152700284833	-0.0579479301362924	-0.195819083203005	0.0173209937612239	-0.0865557218426864	-0.171503044727081	-0.198683067528644	-0.0276425603069985	0.0927621429106228	0.0258510218686308	0.17686313981013	-0.00172172550543782	-0.0969791538520306	-0.00706423518516479	-0.143249115551841	-0.201188930153583	-0.0627874592309614	0.0923187931142233	0.0486361314459065	-0.105879062583054	0.075811392845348	-0.104187289879692	-0.113944730334932	-0.103891137466881	0.0428177121971152	0.0312131190780066	-0.143930323719527	-0.226708377400064	0.177282988273627	0.0712239611921127	0.0694951227612554	0.139335961128195	-0.0613994422060091	-0.0297935236314564
54	WT	12m.4	12	18.3	16.6	16.6	0.9071039	9.29	122464.0	1.213600492482913	-0.11627237081478	-0.157326484132303	0.148626318656564	-0.00241334385958932	0.0244879371378205	-0.0136849348124928	-0.0241717541738298	0.0955718619502939	-0.0688953911034565	-0.0932979307438589	0.000589985550386602	-0.00878079691248665	-0.0957320019333638	0.0779533684386936	-0.0146752071585357	0.133157039786424	0.118296801651581	-0.280122267139929	0.078444672128289	0.0366125296521266	0.133218930006221	0.163889987716522	-0.0174677004465115	-0.203916491690919	-0.0856293228185738	-0.0690851572734771	-0.00439866932688926	0.0297097405890158	0.002713986111731	0.0405697775358519	0.0189518613674203	0.0179280863822533	0.123191291588818	0.201436457938364	-0.00313440314411296
55	WT	12m.4	12	19.2	17.4	17.4	0.90624994	9.38	107164.0	1.0765455443880994	-0.094522151586507	-0.144271723771263	0.147105405513628	0.107689942330566	0.172568980706521	-0.119273658498021	0.0273004540087428	-0.0936881698672035	-0.289879247574597	0.0410719989762261	-0.150098237373866	-0.0144684783951312	0.0183126495788544	-0.142873055877587	-0.0231242398490114	0.0298691107869796	-0.101702500648855	0.0758998031282068	0.125676488343343	-0.0966010115675312	0.0117443260208899	-0.145485640137852	-0.0179003389386673	0.0989552152684412	-0.07082032387782	0.173869806972359	0.0482167340296843	0.0102193062616389	0.0239800201384419	0.0905945869067031	0.0363225699978761	-0.0893973644156646	0.11560791909322	0.026003137392284	0.0375376681826271
56	WT	18m.1	18	24.2	20.6	20.8	0.85950404	14.88	133734.0	1.573765892769316	0.217698536263852	-0.000107195608527747	-0.0199091781584113	-0.0683747659452286	-0.147644150207513	-0.0714106471980529	-0.345035238641697	0.101204291695639	-0.118629323160514	0.0429431280073044	-0.117900591200585	0.101008235354574	0.198844648383793	-0.172192867741235	0.0215151769112159	0.324304425196744	0.0906339868910233	0.0653882907454515	-0.00825639096196717	0.0195976241153855	0.142094156983103	0.066511735754967	0.134452196949591	0.0114449994621732	0.0911313260155187	0.065038709057168	0.106012575833958	0.137465318593318	-0.0204163261886544	0.168247711239069	-0.0567103191936319	0.0168301904218414	-0.0565185112305297	-0.166816712212712	0.0177455084374057
57	WT	18m.1	18	24.2	20.8	20.8	0.85950404	14.05	120228.0	1.5563389291361482	0.17357858240849	0.0536127786910182	-0.0796022325395362	-0.0745336593661473	-0.24698708950751	0.00134906730189623	-0.213116082237782	-0.196307509514052	0.0147099877682785	0.0156154345201086	0.0301632566084619	-0.188823319545658	-0.0163266892616127	0.0832366951893346	-0.025736049774924	-0.032010943436689	-0.0552909562288396	-0.132188567852741	0.00336173149982046	-0.00186989965093631	-0.251669352540079	-0.0608523033922243	-0.142668235794143	-0.0208843342929804	-0.0231110789176729	-0.0494026533799204	-0.0672745571662408	-0.237909111962463	-0.00941978911826882	0.00613882429591161	0.0325866774002169	-0.0803254332060067	0.00781595266052072	-0.0851086260565703	0.0790299227764506
58	WT	18m.2	18	26.2	19.6	20.4	0.7786259	25.19	134673.0	1.4855774960743697	0.137186336304085	0.0497324765334841	0.00622518402687688	0.0758839277258948	-0.0813232094001044	-0.0977968976409219	-0.149349505111269	0.0629672123487204	0.0710255825734119	-0.0386844546055328	-0.0948641370102582	-0.0108111897522194	-0.115565262841428	0.154503521577027	0.178485897334767	0.11066272211048	0.0671120170648101	-0.0276040963705915	0.118484859650289	-0.114438196139106	0.0402859415196801	-0.0872693349982104	-0.176407727759372	-0.0437294429188369	0.0223971574370398	-0.0484616805609439	-0.0121856958156597	-0.0371849536343558	-0.170402720625816	-0.168140108948443	-0.0490260087461952	0.0684910425530355	0.0258754234749798	0.187641834673424	-0.433391100103537
59	WT	18m.3	18	18.1	18.0	18.4	1.0165745	0.55	126528.0	1.7299178898732284	0.148088879014993	-0.217693456711036	0.0745473654040843	0.0854956310156004	-0.0824041379380937	0.0316827150146328	-0.226292973936654	0.0965307764283622	0.0203710268869281	-0.112371415464816	-0.0151769854422165	-0.124233545751219	0.144708908640934	0.219912559274758	-0.0319817335402889	0.247856592209425	-0.026533170404256	0.0954565043859997	0.20789910557645	0.0264982158308792	-0.0624875156452663	0.0711867881574516	0.0473622881064053	0.0585474952238039	0.0305133519158694	-0.0624271750555326	0.0861628308452676	-0.161647121676564	-0.0255596489091458	0.0116452918011735	-0.0803262428996152	-0.077243196870881	-0.0241899055520328	0.109376786885066	0.0584627102643195
60	WT	18m.3	18	26.9	20.1	20.3	0.75464684	25.28	163769.0	1.6472062771698441	-0.0098125336595154	-0.118931511286786	-0.101153546329727	0.0792149203767382	0.000839652023584757	0.049470781951156	0.0772358178525188	-0.148439413758485	0.0435881641550467	0.0530808950948182	0.13012167732387	-0.0364269837682444	0.0403305148499559	-0.171673292090935	0.0530218795706872	-0.0695301595334063	0.0597720131221448	0.0339559837365572	0.255923735148984	0.00507021641068168	-0.110588873794946	0.13343141184306	0.0108129629461069	-0.263297462013806	0.220880279000022	-0.207907661628492	-0.101976869432575	-0.00581972368654966	0.0374083138268505	0.0453665865914007	-0.133700814936407	0.0835744126077667	-0.0325778574307813	0.0818233668159475	0.0778084190235633
61	WT	03m.1	3	27.6	19.5	20.5	0.7427536	29.35	65924.0	1.6001375888446379	-0.043408104289537	0.0973697459396655	-0.0956847447085034	0.0717415516572927	0.114901157861299	0.0450746703852133	-0.133928867411356	-0.240256309631896	0.0676110494584894	-0.0526823838512957	0.0273684954569423	0.00559202127237273	-0.138074134244912	0.0181761510220489	0.149247136975387	-0.0531585391039774	0.0988945400536047	0.0922963679338393	0.127750355855118	-0.032542304256099	-0.0732077793248102	-0.120008106533189	0.208501942403139	-0.109270095113993	0.086802571456379	0.144809605389605	-0.104575314012189	0.132965077938521	-0.0722392138396078	-0.00629045149262765	0.16231283570968	0.0254387421658021	-0.0398555017159485	0.0214281977958799	0.00519726324255281
62	WT	03m.1	3	21.3	16.6	17.2	0.8075118	22.07	78000.0	1.4349444569006404	-0.192547971970492	0.0753771192128437	-0.0781335642593198	0.126918733475008	-0.0509157968542811	-0.124900154386042	-0.0761930150180395	0.128103122492949	-0.11506043715618	0.214150481390474	0.034244035538239	-0.0186704022727449	-0.0337389503927447	0.0133691246662878	0.0466395649779529	0.117463780652082	-0.000767614536413693	0.0118924083453337	-0.118439625809038	0.0346089508632175	0.0353919125599783	-0.0489957155610353	0.0916182335031224	0.0178264603827718	-0.299545050652924	0.00914590671010348	-0.254642883358542	-0.0619242773438738	0.0871461789672796	0.00249133354956364	-0.027761136042574	0.128179001748745	-0.145796425262263	-0.0545319376013123	0.125321447568595
