mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlamydiae	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deferribacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__OD1	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Spirochaetes	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia
18	KO	12m.1	12	25.0	22.5	22.5	0.9	10.0	157066.0	0.9545370190253459	0.0	4.412453030310607	3.895744921277161	0.0	2.198265306488824	1.0784578035897439	4.919692226162175	0.0	0.0	2.493566662386431	0.0	2.1692681337619275	2.5421272967046127	3.731070056521724
19	KO	12m.1	12	26.6	21.6	22.1	0.83082706	18.8	165862.0	0.735607431406284	0.0	4.503109461398271	1.4191564336075868	0.0	1.7302278742453183	0.0	4.936694042891449	0.0	0.0	1.859130771568186	0.0	0.9623526697650742	1.6059818238464227	3.672581034715267
20	KO	12m.2	12	19.1	16.8	16.8	0.8795811	12.04	181427.0	0.7566523769594083	0.0	4.506702762345162	2.334927992996758	0.22504498184819602	0.5700653777181374	0.22504498184819602	4.931800209110031	0.0	0.0	1.905474304069452	0.0	0.8083341024551252	0.9924082637953209	3.7236981047587263
21	KO	12m.2	12	19.2	15.7	16.1	0.8385416	18.23	172806.0	0.6254551834420932	0.0	4.307514374562986	2.3392915007368447	0.0	0.38483743611529575	1.9076225916219047	4.993825331143482	0.0	0.0	3.388090589250257	0.0	0.9801948582007758	1.1178830711700205	3.1865271921534006
22	KO	12m.3	12	23.7	20.3	20.3	0.85654	14.35	147795.0	0.42605578688516704	0.0	4.1019177489698695	1.6301659295774014	0.0	0.0	1.566317944491107	5.035599523799158	0.0	0.0	3.056729801905305	0.0	0.7132742087934607	0.5441245226991871	2.8908724500425182
23	KO	12m.3	12	23.3	21.0	21.1	0.90557945	9.87	122272.0	1.0426560802079567	0.0	4.206453671136561	4.3904422157729215	0.0	1.2071493233651494	1.149128624960256	4.889501207713537	0.0	0.0	2.877127842374645	0.0	2.0366245003881254	2.6316119043193344	3.565760434968098
24	KO	12m.4	12	18.8	14.6	15.3	0.81382984	22.34	143776.0	0.5414444428977057	0.0	4.13878344765952	2.855683348040355	0.0	0.0	1.2154288395983717	5.020141942649444	0.0	0.0	2.942393088643032	0.0	0.7882180119591016	0.64612272331441	3.485802939562161
25	KO	12m.4	12	19.0	14.2	14.2	0.7473684	25.26	146547.0	0.6632067967768157	0.0	4.264234556513274	2.755290943233131	0.0	0.8878796228413434	2.4091504328947058	4.993894154820613	0.0	0.0	3.104760904548434	0.0	1.3589842552611486	1.470995583839584	3.6080950187466954
26	KO	18m.1	18	23.0	17.8	18.0	0.7826087	22.61	142881.0	0.5954251425298208	0.0	4.477949830004001	1.4428976410285073	0.0	0.0	0.270014777012389	4.9654786195274605	0.0	0.270014777012389	2.8215997111451148	0.0	1.6772064761411627	1.5393756001828676	0.0
27	KO	18m.1	18	23.4	16.1	17.1	0.7307693	31.2	131717.0	0.7968586189980702	0.0	4.409000118557722	3.998186600237723	0.0	1.2945650633260986	1.4343497439502841	4.940504346619402	0.0	0.0	2.267732816953807	0.0	1.777565456530588	2.0005805433633874	0.0
28	KO	18m.2	18	23.9	17.5	18.8	0.78661084	26.78	134836.0	0.7234169341986325	0.0	4.316262502735842	3.954632783914009	0.0	0.6678602587678822	1.4534364258774342	4.96897743068794	0.0	0.0	2.225792710173493	0.0	1.812588208077322	1.9905192030585166	0.2818490674332266
29	KO	18m.3	18	18.0	14.0	14.3	0.79444444	22.22	123613.0	0.8781960527502741	0.0	4.331880298558607	4.0550172734380965	0.0	0.6009305442280038	1.3787675373231465	4.941096682923405	0.0	0.0	2.6419495233280723	0.0	1.776669819834855	2.20262283190639	3.3745232335022894
30	KO	18m.3	18	19.2	18.4	19.1	0.9947916	4.17	139002.0	0.8960835127073193	0.0	4.171839767447848	4.118388480750681	0.0	1.7613069305058706	1.8876962585177848	4.954135727271089	0.0	0.0	2.9094928613702775	0.0	2.121096875801594	2.578094964321064	3.5764491840949795
31	WT	00m.1	0	24.0	20.2	20.2	0.8416667	15.83	116006.0	0.4216576867307227	0.0	3.921220078533126	3.4366758209238477	0.0	1.5438234140008371	2.1330893042455785	5.044219581375296	0.31426424616776927	0.0	3.0497170613396807	0.0	1.1703935415141176	1.9602811644870892	0.31426424616776927
32	WT	00m.1	0	24.6	17.8	18.8	0.7642276	27.64	116451.0	0.5111612632950251	0.0	4.06726323265272	3.4834968815915346	0.0	0.31340870351465305	1.8933251209187196	5.027568627893611	0.0	0.0	3.2413571424326917	0.0	1.500743514565803	1.8021697314473082	0.31340870351465305
33	WT	00m.1	0	23.1	21.5	21.6	0.9350649	6.93	141414.0	0.4293843056133937	0.0	3.9449515187768265	3.5483930362865794	0.0	0.9872613912399211	1.4334950630282428	5.041444945246714	0.0	0.0	2.8399665929600237	0.0	1.0907596361678553	1.9700491501787256	0.2720956686379934
34	WT	00m.2	0	23.8	20.8	20.8	0.8739496	12.61	123512.0	0.49686373230024383	0.0	4.032875039627367	3.7475017083480107	0.0	0.6980489761375848	0.9532190240981268	5.0272854598715595	0.0	0.0	2.4444567455267405	0.0	1.112880453935225	1.3968345402097269	0.30045458197881747
35	WT	00m.2	0	23.1	20.0	20.5	0.88744587	13.42	111254.0	0.5157381915057223	0.0	3.7680999494252965	3.9455314664474996	0.0	0.0	2.1442785119115566	5.029254584918567	0.0	0.0	3.1390284952643865	0.0	0.8832890018521995	1.1549375479247486	0.3237140868385259
36	WT	00m.2	0	24.2	23.1	23.1	0.95454544	4.55	135184.0	0.8213511185402638	0.0	3.8234960203482458	4.461336295164536	0.0	2.3308801097905225	0.4506305473148397	4.933918686251407	0.0	0.0	3.0880630139287093	0.0	1.857794517238568	2.3081267933057847	0.2813149854696724
37	WT	00m.3	0	18.4	14.9	14.9	0.8097826	19.02	133621.0	0.30954072709347025	0.0	3.971580175084273	2.2343935562396293	0.0	0.5758450065497702	1.267548600783505	5.053410889845164	0.0	0.0	2.725169201080507	0.0	0.8150054611183792	0.8723477630678155	0.28373032188405484
38	WT	00m.3	0	19.1	15.7	15.7	0.8219895	17.8	139902.0	0.4555121140716265	0.0	3.846417262733712	3.592814022761808	0.0	0.9914514415274305	2.432063950161941	5.041651073492107	0.0	0.0	3.258840227426075	0.0	1.2898270408866774	1.8799168638405415	0.0
39	WT	00m.3	0	19.8	19.2	19.2	0.96969706	3.03	144660.0	0.3909115409685662	0.0	4.0104449215830185	3.1019865374561486	0.0	1.585100842019073	1.7508986686924985	5.0442599273294215	0.0	0.0	2.9254819410362813	0.0	1.08171170369116	0.8426613755291474	0.0
40	WT	04m.1	4	24.5	21.2	21.2	0.86530614	13.47	154326.0	0.49397888888113206	0.0	4.149778846768563	1.397007388014993	0.0	0.7626241293689197	0.0	5.0227195466173	0.0	0.0	3.548448931974423	0.0	1.9675218832616432	1.6444727502140242	0.0
41	WT	04m.1	4	20.7	17.5	17.5	0.8454106	15.46	161651.0	0.41200125268200866	0.24601636834221172	4.200174279983993	1.508445419713405	0.0	0.24601636834221172	0.0	5.02878080599487	0.0	0.0	2.5680004330392876	0.0	1.3339537493837534	1.7645734994870954	0.24601636834221172
42	WT	04m.2	4	22.1	20.0	20.1	0.90950227	9.5	137224.0	0.25659946456932753	0.0	3.69104446228521	2.8932024661129914	0.0	1.3530428163059594	0.0	5.0662687071280565	0.0	0.0	2.95317698144853	0.0	1.3530428163059594	1.8622231331141985	0.0
43	WT	04m.2	4	24.1	18.2	18.9	0.7842323	24.48	104159.0	0.5696880917923878	0.0	4.385922854346522	2.3778799406393403	0.0	0.8396861332864954	0.0	4.9882439506800305	0.0	0.0	3.0864754572185644	0.0	1.639245804141065	1.5477403467150164	0.0
44	WT	04m.3	4	18.2	14.6	14.8	0.81318676	19.78	135913.0	0.453121713492341	0.0	4.220129649501976	1.844369671305548	0.0	2.240831446425408	0.0	5.023145448581236	0.0	0.0	2.9149533235243776	0.0	1.0027496143745451	1.61150512320007	0.0
45	WT	04m.3	4	17.6	13.9	13.9	0.7897727	21.02	135514.0	0.5667560930197743	0.0	4.422602178121793	2.821955798324974	0.0	1.2828576222817154	0.0	4.981575089380685	0.0	0.0	2.1378381100385138	0.0	1.340591989451248	1.631595098036703	0.0
46	WT	04m.4	4	19.2	17.7	17.7	0.921875	7.81	129067.0	0.5525755801141816	0.0	4.264422255786401	3.3382573427433657	0.0	1.45755430451151	1.3231066228390478	5.007890680411315	0.0	0.0	2.6368438757496317	0.0	2.100473353284378	2.274313828009608	0.0
47	WT	04m.4	4	17.8	16.5	16.5	0.9269663	7.3	126832.0	0.45687434820239925	0.0	4.215729841208509	2.9069452189427167	0.0	1.5062321223673236	0.4687149470729413	5.023414528592264	0.0	0.0	1.9012993508270954	0.0	1.820026681508978	2.3639597012409554	0.29474056856393444
48	WT	12m.1	12	25.2	19.5	20.0	0.79365075	22.62	120919.0	0.7361580131545719	0.0	4.339084814787957	3.2039575806045364	0.0	1.0487288547421922	0.0	4.970437001088068	0.0	0.0	2.3846064066133787	0.0	0.8520183216653379	1.439130804684656	3.782067402572049
49	WT	12m.1	12	27.0	24.4	24.6	0.9111111	9.63	130007.0	0.7750311358436712	0.0	4.433883004966591	3.4302233630732433	0.0	0.4616561664430606	1.0201645315120689	4.95155387450024	0.0	0.0	2.6641691722572727	0.0	1.5335609129416337	1.8745222614098878	3.520541642931676
50	WT	12m.2	12	19.2	17.5	17.5	0.9114583	8.85	121250.0	1.1193511761914336	0.0	3.8650510085210352	4.476535630289218	0.0	0.9603596997537347	1.1525163159422396	4.852383043545305	0.0	0.0	2.936286716298321	0.0	1.6087652321703627	2.171181945640234	4.134983657353333
51	WT	12m.2	12	21.0	15.0	15.5	0.7380952	28.57	129433.0	1.1432883561273126	0.0	4.034198548681526	4.352289528955329	0.0	0.8843473278000687	2.647876592998934	4.887522961657321	0.0	0.0	3.622068919791974	0.0	1.5588754375734044	2.4810089306240934	3.8868394058241886
52	WT	12m.3	12	24.4	21.0	21.1	0.86475414	13.93	120782.0	0.7634685443122681	0.0	4.328514170274719	2.995318347260056	0.0	0.48284350415737964	1.6316028847946311	4.971412128039412	0.0	0.0	3.3989570552301465	0.0	1.4554107144195256	2.0653858791572506	3.6601221958588344
53	WT	12m.3	12	26.1	18.9	19.7	0.7547893	27.59	124336.0	0.7123043996235863	0.0	4.304418565470784	2.950207690308863	0.0	0.0	2.741042762203657	4.9838726517298	0.0	0.0	3.30260211587945	0.0	1.1102160790019464	1.3385677758022236	3.504760894783653
54	WT	12m.4	12	18.3	16.6	16.6	0.9071039	9.29	122464.0	0.7513446597303721	0.0	4.432317452882213	2.3206002381745434	0.0	1.0437106868859851	0.7010104982202809	4.94914871915859	0.0	0.0	2.346929895710745	0.0	0.847283917264822	1.1484955737237676	3.8270650701770608
55	WT	12m.4	12	19.2	17.4	17.4	0.90624994	9.38	107164.0	0.6817403213217298	0.0	4.349670898023579	2.944096243200701	0.0	0.9564802958941195	0.0	4.9772460845768585	0.0	0.0	1.9789056936741773	0.0	0.6482133407332057	0.8291426139448508	3.6930539990340874
56	WT	18m.1	18	24.2	20.6	20.8	0.85950404	14.88	133734.0	1.0289381448576047	0.0	4.169441177118653	4.567471859039782	0.0	1.4426749268510226	2.043806791676909	4.839018323267363	0.0	0.28355426157037533	3.3301939608528226	0.0	1.771076428128846	2.0649813425765298	0.5755754097046999
57	WT	18m.1	18	24.2	20.8	20.8	0.85950404	14.05	120228.0	0.7764389608071104	0.0	4.2062849247965275	3.99803837395825	0.0	1.902512871823422	2.783589054048498	4.9755558633728745	0.0	0.0	3.2203285244956192	0.0	1.93984820465498	2.291530724574501	0.0
58	WT	18m.2	18	26.2	19.6	20.4	0.7786259	25.19	134673.0	0.8024187370831688	0.0	4.413479041123318	3.973907313835461	0.0	1.167921023404821	1.1102884550777832	4.940479711650898	0.0	0.0	2.6663648659150407	0.0	1.8251543535814463	2.058510935143425	0.0
59	WT	18m.3	18	18.1	18.0	18.4	1.0165745	0.55	126528.0	1.2314903004531528	0.0	4.365386095258678	4.263775048005868	0.0	1.6119007431086914	1.3313290059967506	4.817764934089724	0.0	0.0	2.8760034872651623	0.0	1.3867821200815744	1.9569805832580565	4.175638524094482
60	WT	18m.3	18	26.9	20.1	20.3	0.75464684	25.28	163769.0	0.7932562144344976	0.0	4.2681662121963635	3.4902024996794316	0.0	0.0	0.6030087885374765	4.972001876109746	0.0	0.0	3.0513530917420915	0.0	1.089297596607683	2.2213650838412464	3.8125041806086584
61	WT	03m.1	3	27.6	19.5	20.5	0.7427536	29.35	65924.0	0.8794438201518262	0.0	4.496319819902744	3.469493061065313	0.0	0.0	0.0	4.912070328352907	0.0	0.0	3.854092670912437	0.0	0.6755198810469992	1.8097755214306965	0.0
62	WT	03m.1	3	21.3	16.6	17.2	0.8075118	22.07	78000.0	0.599717279838366	0.0	4.488177483690757	1.8382799693491914	0.0	0.0	0.0	4.962247477465439	0.0	0.0	2.8150783446690997	0.0	0.0	1.0811692815898424	0.9492176966918018
63	WT	03m.1	3	22.5	16.5	17.2	0.7644445	26.67	70929.0	0.6724766375531602	0.0	4.63082020637206	1.8688964707424423	0.0	0.0	0.0	4.902865039885889	0.0	0.0	2.5832915754541363	0.0	0.43723285420704094	1.5314530873441239	0.0
64	WT	03m.1	3	23.4	17.6	18.0	0.7692308	24.79	81853.0	0.660900425189911	0.0	4.525431608192539	2.4071138733242075	0.0	0.0	0.0	4.944215812571083	0.0	0.0	3.1582826079864135	0.0	0.6031342107968974	1.1627011184591585	0.3987995967070138
65	WT	03m.1	3	24.3	19.2	19.4	0.7983539	20.99	74213.0	0.6512339920034613	0.0	4.510392771848758	2.009675574228815	0.0	0.0	0.0	4.949498348873481	0.0	0.0	3.2190350833913173	0.0	0.4248625952133837	1.2024597187818666	0.6354602975426565
66	WT	03m.2	3	18.4	14.4	14.4	0.7826087	21.74	84196.0	0.8649337399800382	0.0	4.296906690760698	4.253816205605684	0.0	0.0	0.0	4.927927291782748	0.0	0.0	2.7902527043878274	0.0	0.0	2.049967989575695	0.39147734782618937
67	WT	03m.2	3	17.2	12.9	13.5	0.7848837	25.0	82587.0	0.6468651937256868	0.0	4.4759913160439115	2.0289858894588697	0.0	0.0	0.0	4.958702731663099	0.0	0.0	3.3473187538441835	0.0	0.0	0.8430028389022526	0.0
68	WT	03m.2	3	18.4	16.1	16.1	0.87500006	12.5	75263.0	0.5808583280048935	0.0	4.3729295818093865	2.6266229908969034	0.0	0.0	0.0	4.988913306675137	0.0	0.0	3.221130832232927	0.0	0.0	1.3478652977486978	0.0
69	WT	03m.2	3	18.6	12.8	12.9	0.6935484	31.18	78840.0	0.9444088192982462	0.0	4.056159420905432	4.400815900045418	0.0	0.0	0.0	4.913313266847814	0.0	0.0	3.6684117876284974	0.0	0.6154170754839446	1.871782822591731	0.0
70	WT	03m.2	3	19.6	14.9	15.2	0.7755102	23.98	78337.0	0.7392956608872641	0.0	4.489657715905687	1.9178729290766907	0.0	0.0	0.0	4.942918345766944	0.0	0.0	3.166768184442655	0.0	0.6175245148238359	1.018492429493792	3.4863213337384065
71	KO	03m.3	3	27.2	26.3	26.6	0.97794116	3.31	97341.0	0.7644010405690252	0.0	4.42912562722698	2.0096204550517207	0.0	0.0	0.0	4.947041967483262	0.0	0.0	2.6953153309897977	0.0	0.35516384890120645	1.046260625640097	3.8572816775697953
72	KO	03m.3	3	26.8	24.9	25.0	0.9328359	7.09	100182.0	0.9515596879195327	0.0	4.280262415381326	2.1572600291303976	0.0	0.0	0.6710648642392505	4.9278976559285095	0.0	0.0	3.89796622618886	0.0	0.7722076475795036	1.0349046994884217	4.055101917864338
73	KO	03m.3	3	25.2	24.5	24.6	0.97619045	2.78	82210.0	0.7915260506514162	0.0	4.345767474369351	2.761845812171354	0.0	0.0	0.7399877168928783	4.960753863958183	0.0	0.0	3.3463836321490583	0.0	1.0602793717162322	1.6016131119901524	3.833039445588113
74	KO	03m.3	3	27.2	23.5	23.6	0.86764705	13.6	83561.0	0.729731569220875	0.0	4.231912755225259	2.31985738795724	0.0	0.0	1.828264227328283	4.978750674675121	0.0	0.0	3.028099507681662	0.0	1.271616256129992	1.4625423477990889	3.978630343419959
75	KO	03m.3	3	24.8	22.3	22.5	0.9072581	10.08	86744.0	0.8228647836245967	0.0	4.248000094581755	3.741899605744513	0.0	0.0	0.9786635952112662	4.966969874272739	0.0	0.0	2.6922771927093696	0.0	0.721009858082524	2.3610393572263524	3.8168382657175175
76	KO	03m.4	3	17.2	14.2	14.2	0.8255814	17.44	90139.0	0.940027290553436	0.0	3.8486925963548764	4.64837899605249	0.0	0.0	1.6232319393246186	4.84151479565804	0.0	0.0	3.156723155447097	0.0	0.9637719850887737	2.858058040723835	0.0
77	KO	03m.4	3	20.5	19.3	20.0	0.9756098	5.85	76006.0	1.044656852895093	0.0	4.34847381799508	4.4994461356507465	0.0	0.9592146756632278	1.1450661477879382	4.831536060512163	0.0	0.0	3.104367403735551	0.0	1.3106660409972692	2.142269729394864	0.0
78	KO	03m.4	3	19.9	18.0	18.4	0.92462313	9.55	71367.0	0.6678512073754255	0.0	4.192150094893799	3.6824431291633943	0.0	0.4355380912654921	0.9836436108052753	4.996943771776427	0.0	0.0	3.530771596615792	0.0	0.4355380912654921	2.0193847207119866	0.4355380912654921
79	KO	03m.4	3	18.8	18.3	18.7	0.99468094	2.66	94924.0	0.757854560352133	0.0	4.449656688432967	3.3760526126344454	0.0	0.0	0.0	4.948597940404723	0.0	0.0	3.579124824732752	0.0	0.5557524318542189	1.145420676167116	0.5557524318542189
80	KO	03m.4	3	17.4	17.1	17.4	1.0	1.72	99828.0	1.1440337866581984	0.0	4.324067849143993	4.56486238020967	0.0	0.0	1.722854391219942	4.790082418148936	0.0	0.0	3.1002502753975603	0.0	1.0829915262514511	2.47657246205141	3.320426311205953
