mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"	"MDS37"	"MDS38"	"MDS39"	"MDS40"	"MDS41"	"MDS42"	"MDS43"
25	KO	12m.4	12	19.0	14.2	14.2	0.7473684	25.26	146547.0	1.5043282818612824	-0.0472592472017451	-0.17033189513172	-0.0302692078679166	-0.0400346440556446	0.0167288417351406	-0.0100451399135048	0.18206493050663	0.0171439691668904	0.114341954708414	-0.0560484355855331	-0.0455267328912771	0.198473285888243	0.0042947107531229	-0.0787605982290608	-0.0753069914066239	-0.0786307909112372	0.0496666341635481	0.120046933576043	0.0665176506344861	0.063517570914758	0.0258968648378425	-0.208279835452075	-0.00183537720344229	-0.0805500561829283	-0.0215721698414967	-0.0538547021786766	0.111867756717602	0.114323228123099	0.00376397706323579	0.126576469761926	-0.0467193584016872	-0.0231872220639563	0.101785608308086	-0.103908348292031	-0.12286709860692	0.10601926223846	-0.0481474167131201	0.0599753173053886	-0.022454838453422	-0.250634666262399	-0.264054299253929	-0.0319099915407616	0.121736633429194
26	KO	18m.1	18	23.0	17.8	18.0	0.7826087	22.61	142881.0	1.7342121092989917	-0.111919458516368	-0.000379143749353261	0.0173513177974023	-0.0272988811669378	0.0942759464307715	0.369032312124952	-0.082737215759242	0.268886951252417	0.136884210507212	-0.185951561825356	0.0885941276584533	-0.158847732898652	0.0903816912549611	0.183845593593137	-0.167735466394442	0.156309852066464	-0.0588587956521611	0.0706162958008491	0.0178943705997612	0.0385175327873369	-0.175415011158609	-0.0448916538267511	-0.128718811183728	-0.140335465113517	0.0314464051508979	-0.05855216726638	0.1031288701418	0.13568567293108	0.0150405042075758	-0.0487364683229381	0.0223994728567586	-0.111991432710994	0.0236382927465755	-0.0853475902481304	0.0226950477420928	-0.0969274174588343	-0.0209142948378411	0.0140070307370159	-0.0218301625441314	0.0679075190176491	0.0948419106124374	0.00492422774048045	-0.0354667281036124
27	KO	18m.1	18	23.4	16.1	17.1	0.7307693	31.2	131717.0	1.8163800244950383	0.141086211012233	-0.032663714145284	0.0695089811687041	0.07940950122078	0.0691998875048036	0.1100601593056	-0.151773639362347	0.211368892506112	0.085305225992286	-0.123646731609004	-0.230553959518057	-0.068087252567628	-0.111810130311734	0.114131801492294	0.121025567443236	0.0948656644041988	0.0289439296249067	0.0845440983663322	-0.104794854768915	-0.0494828855014519	-0.151987869753468	-0.0702272336873078	-0.0772454723935391	-0.0499831077364588	-0.191589972198108	0.00448042911446791	-0.0741745798202369	0.00405497086573263	-0.133626172728366	-0.0910025954776261	0.134498704576201	0.0263833187354972	0.151694061615892	0.00540227812414171	-0.0874078831746216	0.0601810124027733	-0.131551804619049	-0.124673550886981	-0.126332537846294	-0.0222482559988878	0.0202653137621605	-0.0140302446183192	-0.136528413231188
28	KO	18m.2	18	23.9	17.5	18.8	0.78661084	26.78	134836.0	1.832256437986812	0.0945531204317161	0.0845740328995415	-0.0119077180435262	0.0537838306879317	0.107121668812349	0.0675756838947071	-0.126403972975531	0.00852193202576671	0.11536110733378	-0.165931367603649	-0.0813450960412033	-0.000585731398172374	-0.110343824859534	0.138290384947264	-0.118762181176074	-0.00281654760024436	0.0715714271620695	-0.0474311508289965	0.102818234864142	0.0529957835920229	0.0870099738006104	0.296897856933909	0.0194729243732672	0.0439387958074455	0.042362537501751	-0.0952023819540985	0.179376720307376	-0.011203621725343	-0.0709674137875331	-0.134196744789121	-0.14207302494719	-0.0353268873751838	-0.0187004984672027	-0.145234341055525	-0.0353763768104082	0.0474060254524297	-0.165660848682648	0.115217941029132	-0.0228845607460493	-0.0873793467229647	-0.0235154328104618	-0.218734636275535	-0.00936736306890607
29	KO	18m.3	18	18.0	14.0	14.3	0.79444444	22.22	123613.0	1.672741852588166	0.137559290902302	-0.00772747258715568	-0.13988051974226	0.126550764337074	-0.0520361842437266	0.0933234805662348	0.0618898262747676	-0.103479727790149	0.145130349273421	-0.0502172398723229	0.0579425741869407	-0.073930088763969	-0.0375935747610459	0.280495769719013	0.10564730349865	-0.0796968339977066	-0.0447751909386121	0.102005585126007	0.232818519974806	-0.0657885686367002	-0.0299021302280683	0.0895093302636827	-0.0773961639967243	-0.0502370309515518	0.0397141879635807	0.162498219969037	0.098120797128546	0.0304983107734475	0.032694978777416	-0.15113951674752	0.152168293567179	-0.118387495015652	-0.185672302216758	-0.055929804069182	-0.103441390017613	-0.0152843732974876	0.0280113253097972	-0.0303150011087548	-0.0114822594566519	0.0456966717029162	-0.187402153798904	0.142236513875548	-0.0951800371717579
30	KO	18m.3	18	19.2	18.4	19.1	0.9947916	4.17	139002.0	2.167841017842259	0.169343729716402	0.00494604722125753	-0.152572977017877	0.0272003954295731	0.118964642714179	0.117633828278149	0.177295777825804	-0.0268097391036278	0.154182512552924	0.0989273725934266	0.0217306836003625	0.0221169755799042	0.0303123855974028	-0.108621190675217	-0.000340954787821106	0.213681109862507	-0.0827211712246574	-0.0188504816446521	0.105548207198742	0.0336639113157415	0.168648329722013	0.0498178018733961	-0.0665212813148606	0.128603660438767	0.184299711076528	-0.0682702826230118	0.068990713531604	-0.230289773677479	0.0632160519156094	0.0266131263990572	0.131076121985313	-0.076729392294128	-0.00665444233029684	0.111293446959507	0.0704420324304872	0.0586529607576027	-0.165411392043599	0.0936265085331738	0.0600826013143417	0.0810952472803035	0.132203410727281	0.00275710254776715	-0.0310547814565346
31	WT	00m.1	0	24.0	20.2	20.2	0.8416667	15.83	116006.0	1.127203599053013	0.0629698219858054	-0.0817385606012836	0.0941968986683309	-0.185517798287643	-0.0974797479490638	0.00848268751550119	-0.0196548688542745	-0.0428472887122698	0.0176076228557468	0.0615079278735098	0.167285947714658	-0.0579729201547149	-0.121450446730021	0.0148632491468119	-0.0586554206538928	0.0910965292679654	0.0239350746393813	-0.00666886874105535	-0.019327414262256	0.0085073099955488	-0.0134303405275541	-0.241893504816316	-0.137481288093069	0.16688273751882	0.161902737640554	-0.232432369881231	-0.116486201284987	-0.0833446594520628	-0.197828510883774	0.227308423227556	-0.0965559979562179	0.127794379023721	0.0648834077833947	-0.0038542882002021	-0.258558578612667	0.0627189297624792	0.0100208126028493	0.141939879150026	-0.159780164484724	-0.0359640597021274	0.0558195824456351	-0.0379119185569303	-0.217605856525859
32	WT	00m.1	0	24.6	17.8	18.8	0.7642276	27.64	116451.0	1.0337708604528846	0.0485717568564337	-0.145728258391536	0.14232848185267	-0.198234355319448	-0.0592844358437334	-0.0941265294566559	-0.154434790865093	-0.0826539814823874	0.085978365842798	-0.0472813211711205	-0.0277954684124493	-0.0331078457135861	-0.0136824226987106	0.0578521487739491	-0.0448926488019342	-0.250892247251274	-0.0751274473523546	0.10016433911918	-0.188807990156225	-0.0097535184019888	-0.0782288232034656	-0.0123049745791191	-0.200608920435955	0.0248526757096378	0.039893574387845	0.109768048856354	0.196672566206231	0.128592088953029	-0.0480731807710399	0.0100188172215387	-0.159203137328124	-0.0511279936185387	-0.143145239042558	0.093488042643627	0.216030191489763	-0.136944100388406	0.0980843301680284	-0.00822912733786323	0.0212763762151063	0.0830194028679241	0.18660878574608	0.208649897718493	-0.0145714476885989
33	WT	00m.1	0	23.1	21.5	21.6	0.9350649	6.93	141414.0	1.281742716574626	0.0729793064339328	-0.010428414439963	0.0572009304517774	-0.120545251395521	-0.118012070207888	-0.00771179849920851	0.0240760725048151	-0.0840590052102273	0.00749967922504979	0.0427433769467978	0.0950868853738341	-0.116453028578074	-0.107463714368037	0.0485961023651533	0.0238677607377008	0.118931673058746	-0.0958829283026083	-0.0941599686829767	0.00347339502379616	-0.101758421538152	-0.0654496457394281	0.022141039700037	-0.0236949492022608	-0.01168668575162	-0.000270998617148672	-0.168819395127399	-0.126040789937086	0.0927362380278406	0.0238757012869938	-0.15054267550275	0.0991467557428188	-0.216830380413242	0.0537997941840514	0.0616793761255575	-0.0582072382466727	-0.0904563516454545	-0.0702014322597861	-0.252524194749444	0.118076039917002	-0.020682839267805	0.09136339684065	0.229809108529878	0.0537298719063652
34	WT	00m.2	0	23.8	20.8	20.8	0.8739496	12.61	123512.0	1.0618957303617105	0.0685789533654417	0.020679489068256	0.0739702110101984	0.0105737836256248	-0.248160856252305	-0.00819416249425528	-0.0885759451271223	-0.122708166747575	0.0352166340123761	-0.0731262508668775	-0.0609459246457796	-0.0352783782948499	0.0527293387054181	-0.0264242849065365	-0.0151705261938925	0.00463425850142666	0.239193064156517	-0.110799288324862	-0.0521175544983698	-0.118682821480958	-0.1593558227499	0.0907969645134939	0.16000918682388	0.0120866434730759	0.118458215157123	0.00123231233658103	0.120318424112571	0.106583355666876	-0.140264180960125	-0.102174871181418	0.0755664280577838	0.0791397348486317	0.029667948571806	0.0292838638465415	0.142535522616852	-0.0720565978083514	-0.110232424607045	0.117216728378758	-0.0287354392356448	-0.123467912011545	-0.0420402513859368	0.0352169411405918	-0.0759680718119817
35	WT	00m.2	0	23.1	20.0	20.5	0.88744587	13.42	111254.0	1.237248123777962	0.117469944524966	-0.112350043445357	0.013033508096507	-0.215857991894795	-0.210965450321117	-0.0566748013890104	-0.152023630032469	0.0478282560427829	-0.0751250038673424	0.124230722614058	-0.242940928674053	-0.0295418905706068	-0.220755579994035	0.089952654336296	-0.0508588650111998	0.188034317499198	0.0417124879811125	0.00178387416602714	0.101113832618391	0.0147817521044135	0.146473603655334	0.0467758495114349	-0.0247824290091111	-0.145631539047802	0.139151751866316	0.00957606553287502	0.13588216017864	0.0567741584053834	0.000349068332845008	0.139323343773556	0.17167133737803	0.100569468642301	-0.12110228814411	0.093897310478528	0.0684076685864075	0.082201438933654	0.0562196486244111	-0.0290276835169396	0.0435515107327428	0.0515347425680359	-0.0654407227806071	-0.106563097126811	-0.033738647920684
36	WT	00m.2	0	24.2	23.1	23.1	0.95454544	4.55	135184.0	1.5682960918014395	0.175090510194525	0.0180015983334062	0.0841634546527594	-0.0123229016571406	-0.088490974253128	0.12069334062659	0.0495264440629454	0.093611809869103	-0.24415387788797	0.10779993090946	0.188383699095529	-0.040572227087869	0.0680455476808445	-0.0480535170377005	0.00983055472592178	-0.0476699915673624	-0.050944142793302	-0.126452098784624	0.0301161657022724	0.0393577747227108	-0.100884354160245	0.0253813014972767	0.0326973741891654	0.0483812330305011	0.13706125954871	0.149058951606725	0.0388452641716485	-0.0313805279185678	0.274702725421256	0.135067396345898	-0.19327507008658	-0.0286089481079934	0.119958512896572	-0.018949111219025	-0.0227616115751654	0.0196813002151953	-0.148345553123088	-0.155609721591791	-0.100693140714613	-0.148879494978745	-0.0889563782927538	0.0326770494991339	0.191929891975732
37	WT	00m.3	0	18.4	14.9	14.9	0.8097826	19.02	133621.0	0.9694019526376216	-0.0912947231090791	-0.0256184995754427	0.0828657850221562	-0.0436508379071517	-0.244086471131679	0.07416654003821	0.234951887607819	0.112832226748413	-0.111752812584404	-0.0765096597379206	-0.173589985372411	-0.18729797388457	0.0467267376118335	0.0336539520187743	0.0557408289988325	0.0520228351879814	0.231884667428062	-0.227701221981067	-0.0047827350076726	-0.097764935402551	-0.195668497054421	0.0432845047358998	-0.0190541470725734	0.156972398231035	0.0653506018090779	0.0355678144442008	-0.121956368570288	0.0329120516382235	0.0433120720148887	-0.0130301321275582	-0.0152890357440244	-0.110437549411809	-0.151269537689876	-0.0757932171414954	-0.156692145554704	0.166287515417848	0.0188994527255453	-0.0555413965864638	0.0364816885067331	0.0718283085351235	0.0024057231368258	-0.0351827263989596	-0.0371723071178279
38	WT	00m.3	0	19.1	15.7	15.7	0.8219895	17.8	139902.0	1.399614949815796	0.0768007018388617	0.0101285869966166	0.0307474327261813	-0.179572717651176	-0.0970834721964538	-0.0355390297986915	0.14126525073416	0.0128977021864176	0.0758071526852585	0.101239399270425	0.0545725022471791	0.0690359320535411	-0.114428771390093	0.000882498095590571	-0.0334630265297927	0.000880998333243365	0.0589438002408586	-0.0292727978893538	-0.0798625507725474	-0.207611833440166	0.0168786098462102	-0.0291864629547932	0.0197323382483137	0.142444106204512	-0.17365054138055	-0.100091034705224	0.208393487844495	0.00594573420381733	0.079327809127558	-0.0337205742676348	-0.000999794319956617	-0.0868068700928672	-0.135683393780541	-0.183263719239797	0.0832412564323527	-0.03600388826881	-0.141518916947189	-0.123153880782742	-0.0839975055079556	-0.105442660450769	-0.0339014094298789	-0.321986840110034	-0.0958383760670837
39	WT	00m.3	0	19.8	19.2	19.2	0.96969706	3.03	144660.0	1.1682405148749402	0.0018781300548819	-0.0111330713284481	0.0880624883638265	-0.0719363100721629	-0.127107282460722	-0.0329205854264481	0.158603755673315	0.0528340741231049	0.127874430258162	-0.0402363790437422	-0.106279823130179	-0.144474670681118	0.0580748003204263	-0.127259455768929	0.0494321554505913	0.032106976378284	0.0182667349408284	-0.148486119159896	-0.0390714133756066	0.172502164227994	0.164883887750307	-0.0758283456806419	0.0346605121137235	0.0212199904690993	-0.00619406597607359	-0.097544011230883	0.0182230873948878	-0.0438215543669638	-0.100883706302906	-0.18187173431718	-0.108058787555606	0.0250035754551434	0.0855261985092202	-0.0200906272886697	0.205709113132342	-0.0388515374187768	0.119401979764796	0.0566884779012723	0.278468532370795	-0.0423686676676653	0.111231318279818	0.00860502094566071	-0.0556284929952769
40	WT	04m.1	4	24.5	21.2	21.2	0.86530614	13.47	154326.0	1.920078081356788	-0.136401812267922	0.137190980094018	0.163052001318229	-0.132793630440635	0.238595869353003	0.0713672944120937	-0.0371472008574255	-0.092824200645364	-0.0750260208519581	0.123828394506892	-0.0307930314791994	0.142403222980862	0.0593407728815033	0.0149318426150527	-0.0326510451487538	-0.0679828831915682	0.242676730014068	0.0484356996285986	0.00751080096639821	-0.0721446242073178	-0.137274963746292	-0.09578937922586	-0.0177709712780449	-0.0497489377229612	0.0759554145988931	0.0983357300571576	0.0113241906052367	-0.303065070447423	-0.0622748350214824	-0.0860559945337905	0.0530819788587987	0.070309716042332	0.00359284397630014	0.0931590307319677	-0.0949635395000891	-0.0291175619640322	0.0339273166685692	0.0500992336607971	-0.0163526457672817	-0.0212196813177445	-0.0204255966493225	-0.0629722768499028	-0.106807072423176
41	WT	04m.1	4	20.7	17.5	17.5	0.8454106	15.46	161651.0	1.733792042243699	-0.142507924913756	0.145345147850427	0.134859600363961	0.0463514918800793	0.135425817153171	0.0412459749803542	-0.0631847390462474	-0.0929866320509879	-0.136104630731793	0.0649285864395033	-0.0512686756487292	0.0293651029284631	-0.0147586957831667	0.0692703565410822	-0.265291773351938	0.0264890471743021	-0.0295453983001809	-0.013203045812377	0.0306188484732671	-0.0489837316343478	-0.0209973503190383	0.123797971000662	-0.0232806746204447	0.154787561030444	-0.118842352788134	0.139518125088831	-0.0235350740504183	0.146127185236534	0.0420978485131569	-0.0813340454145	-0.209199048793595	0.0371053509583189	-0.172866682160011	-0.0804943290579165	0.0816429163171572	0.0885240228765459	-0.101506209390371	-0.0260867966023479	0.110304931740108	-0.205642159360936	0.144900707710087	0.0244916775601007	0.0650713587719997
42	WT	04m.2	4	22.1	20.0	20.1	0.90950227	9.5	137224.0	0.7722156422790586	-0.0174484863012857	-0.112215609621614	0.319722746747658	-0.113129363958134	0.229026258651903	-0.299708097090489	-0.0826798861204475	0.168109668584519	0.0178763587268472	0.113400106111304	-0.0264876679307059	-0.240612779235631	0.156455250644509	-0.0242584123664991	-0.138261919233177	0.0809111548848344	-0.0334590705616411	0.14033614848568	0.249820362451366	-0.0194436330159465	-0.0529835462289781	0.10765057558137	0.203221909843875	-0.18853304887456	-0.103724971542321	0.0492007642404335	-0.0615859289929061	-0.0702071218656184	0.0422939895705629	0.135524488613764	-0.0547548389471252	-0.0365045081307552	-0.024798692803638	-0.0614180524683203	-0.0601015296653626	0.193913584826929	0.0880241888698833	-0.0685774742672389	0.076373713588751	0.0783213500719138	-0.0496584214625821	-0.0322155412573847	-0.0341977166997666
43	WT	04m.2	4	24.1	18.2	18.9	0.7842323	24.48	104159.0	1.3240466059679048	-0.085455294404202	-0.0294074993151073	0.202002553783056	0.00623123739048983	0.12947218507948	0.0464846290284182	-0.0122852080066015	0.11319261881239	-0.0251351990569464	-0.151612186502009	0.167384898322322	0.0688482568858134	-0.223532812420689	-0.0764419023612936	-0.0963417789683958	-0.112797856504711	0.00886757247596535	-0.052683458088048	-0.040128450807962	-0.00446140472065531	-0.0775491855404208	0.0868136174291939	0.139744247707477	0.0937066913792448	0.122637867152343	0.00658809410818337	0.115089917438754	0.217714966984175	0.0988167272532818	0.0685919562628557	0.347819252527776	0.0588283388156967	-0.0193424658578998	0.282476528598886	0.0249070959338248	0.0337376494304122	0.0902344833023855	0.173073658486066	-0.0515465436346277	0.170738808299606	-0.178850431259795	-0.011812015207032	0.0604114812487275
