mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Cytophagia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	k__Bacteria;p__Chlamydiae;c__Chlamydiia	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Firmicutes;Other	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__OD1;c__ZB2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Spirochaetes;c__[Leptospirae]	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__CK-1C4-19	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae
16	KO	04m.4	4	19.4	15.1	15.3	0.7886598	22.16	129431.0	1.3403181990323674	0.0	3.4348929894865976	3.885879590642143	4.212075035656889	0.0	0.0	0.0	0.0	0.0	2.259667901149656	0.0	2.250478605923914	0.0	3.259109168367422	4.385775019532716	4.831670002082468	0.0	0.0	1.4264630356189842	2.3624256084986603	2.4242023806857587	0.0	0.4629194514690757	0.0	1.7782092028908287	0.0	3.190986719097334	0.0
17	KO	04m.4	4	20.2	18.2	18.4	0.91089106	9.9	158135.0	1.3556660030463652	0.0	4.383707013473339	3.739674550969153	3.6320725411563766	0.25017249004316783	0.25017249004316783	0.25017249004316783	0.0	0.0	1.6261991653389862	0.0	1.219577105366759	0.5233506760561838	4.030503986370507	4.009869817519713	4.830615719075891	0.0	0.0	0.8097549917550472	2.1252456480532786	1.817273258183079	0.0	1.04637090062561	0.0	2.2038840704065423	0.0	2.096418974923176	0.25017249004316783
18	KO	12m.1	12	25.0	22.5	22.5	0.9	10.0	157066.0	1.4677096153189173	0.0	4.2408728581319695	3.9262180228415455	3.895744921277161	0.0	0.0	0.0	0.0	0.0	2.198265306488824	0.0	1.0784578035897439	0.25146487100734294	3.191639292795528	4.178031569447807	4.822800935337948	0.0	0.0	0.5254158041686876	1.5781980434458804	2.433896570825471	0.0	0.25146487100734294	0.0	2.1692681337619275	0.0	2.5421272967046127	3.731070056521724
19	KO	12m.1	12	26.6	21.6	22.1	0.83082706	18.8	165862.0	1.15636160472557	0.0	4.336406840708274	4.006621954484709	1.406692486060406	0.0	0.241221455637484	0.0	0.0	0.0	1.7302278742453183	0.0	0.0	0.0	2.570948607206712	3.9688777101540054	4.885118400148267	0.0	0.0	0.0	0.0	1.8455362162346705	0.0	0.5089450759334999	0.0	0.9623526697650742	0.0	1.6059818238464227	3.672581034715267
20	KO	12m.2	12	19.1	16.8	16.8	0.8795811	12.04	181427.0	1.2087153069620473	0.0	4.238761377298504	4.169883066043633	2.334927992996758	0.0	0.0	0.0	0.0	0.22504498184819602	0.5700653777181374	0.0	0.22504498184819602	0.0	3.5626760845096546	3.6861904031836237	4.886271317155496	0.0	0.0	0.0	0.7053391175705418	1.875111013452472	0.0	0.3725356630835563	0.0	0.8083341024551252	0.0	0.9924082637953209	3.7236981047587263
21	KO	12m.2	12	19.2	15.7	16.1	0.8385416	18.23	172806.0	1.273871837523643	0.0	3.9769288406989975	4.0341962066074295	2.3392915007368447	0.0	0.0	0.0	0.0	0.0	0.38483743611529575	0.0	1.9076225916219047	0.233719578363614	3.354523948904629	4.3962645010700445	4.853842206998751	0.0	0.0	0.0	0.0	3.3877103965228277	0.0	0.49672945509113375	0.0	0.9801948582007758	0.0	1.1178830711700205	3.1865271921534006
22	KO	12m.3	12	23.7	20.3	20.3	0.85654	14.35	147795.0	1.111021634539818	0.0	3.198094267268167	4.044069726365782	1.6215996488344997	0.0	0.26327737639187143	0.0	0.0	0.0	0.0	0.0	1.566317944491107	0.26327737639187143	3.5481817057109244	4.496411262767959	4.867159425739143	0.0	0.0	0.0	0.0	3.056412033140619	0.0	0.26327737639187143	0.0	0.7132742087934607	0.0	0.5441245226991871	2.8908724500425182
23	KO	12m.3	12	23.3	21.0	21.1	0.90557945	9.87	122272.0	1.6211231218368327	0.0	3.8741020091878284	3.9346880412296357	4.3904422157729215	0.0	0.0	0.0	0.0	0.0	1.2071493233651494	0.0	1.149128624960256	0.0	4.129166773549385	3.893651151992966	4.750090338678924	0.0	0.0	0.9059180277274409	2.585285484697176	2.555889747860997	0.0	0.6044851519857363	0.0	2.0366245003881254	0.0	2.6316119043193344	3.565760434968098
24	KO	12m.4	12	18.8	14.6	15.3	0.81382984	22.34	143776.0	1.2500501093035694	0.0	3.7184975842961245	3.9312685832179795	2.855683348040355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2154288395983717	0.26876130153489797	3.7957277817948145	4.375823654004071	4.87356276409641	0.0	0.0	0.0	0.8449420070988101	2.9381234071313433	0.0	0.5527109047763014	0.0	0.7882180119591016	0.0	0.64612272331441	3.485802939562161
25	KO	12m.4	12	19.0	14.2	14.2	0.7473684	25.26	146547.0	1.289119137190632	0.0	3.991807375379892	3.932635022417875	2.7546491504102946	0.0	0.26495541951682205	0.0	0.0	0.0	0.8878796228413434	0.0	2.4091504328947058	0.26495541951682205	3.504842790821988	4.321619667913602	4.87178484003572	0.0	0.0	0.0	0.7162467539523629	3.1027485343625365	0.0	0.4283237213503783	0.0	1.3589842552611486	0.0	1.470995583839584	3.6080950187466954
