mouseId	genotype	cage	time	initialBodyWeight	lowestBodyWeight	bodyWeightAtDay8	bodyWeightDay8Fracion	maxWeightLossPercent	numberSequencesPerSample	shannonEntropy	"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"	"MDS37"	"MDS38"	"MDS39"	"MDS40"	"MDS41"	"MDS42"	"MDS43"	"MDS44"	"MDS45"	"MDS46"	"MDS47"
14	KO	04m.3	4	20.1	18.1	18.9	0.9402985	9.95	146182.0	1.607748895729413	-0.0178802208429146	-0.0557180890850124	-0.182062917719181	-0.0379523996091546	0.113751526787489	-0.0349630867165199	0.0684289467750113	0.00281954471132953	-0.0729028012357916	0.00784307061497713	-0.0169176759637438	0.213727039783043	0.18326936122197	0.135967046646015	-0.016933250765143	0.0590615983687074	0.0432629202369404	-0.109778280436489	0.155609885742334	0.0910680303908938	-0.0569131561784527	0.147177839483219	-0.00814716633192492	-0.0634737389615462	-0.150673404196736	0.0599626974945384	0.0683948011934236	-0.00333102296038958	0.106598212883777	0.0332097789968792	0.0418104975555915	-0.129154231461924	0.276410676335357	-0.122810453167761	0.0365027689637875	0.142090474087339	-0.00588982456392209	0.0910047011914965	0.0875401213456594	0.142218401580661	-0.0891131424106938	-0.0114025286070492	0.0366768731299272	0.153640683564934	-0.0613392630482936	-0.148980145795561	0.0680506920489559
15	KO	04m.3	4	18.9	18.1	18.1	0.957672	4.23	149748.0	1.8171361354067073	0.0625175257145984	-0.0309401236109749	-0.14860359379321	-0.110365867988716	-0.028479879960815	-0.0687662420464322	-0.0106486719842725	0.118650035984447	-0.129598570807617	0.158160556333233	-0.0155509420275803	-0.106224847212479	0.136359830981116	0.0396732736659419	0.0684026069450139	0.0609296082061305	0.168391416913131	-0.137267199210146	-0.0488147776265314	0.210176141809077	-0.171319979777541	0.0767912277240121	-0.0507961642464573	-0.104948394615966	0.153035854871017	-0.0742694846666868	-0.183983262253354	0.00821579470151557	0.0346409764780507	-0.0199421582711944	-0.12550039198757	0.0525273078258001	-0.126599428919726	-0.0748109476532131	-0.137777954966073	0.0503313130122524	0.0606610355101104	-0.137250936794136	0.105015417886392	0.0215175197076598	0.160447162463804	-0.0572366274081743	-0.235558757619865	-0.0896093067975363	-0.171960297697682	-0.0835410820618553	-0.0682785422275929
16	KO	04m.4	4	19.4	15.1	15.3	0.7886598	22.16	129431.0	2.0186638120940734	0.144855379404661	-0.00527082259060909	-0.0862864331954202	-0.00400826089179296	-0.205939617911609	0.0811582606212868	-0.000927594750356382	0.00401062796176294	-0.00361893439599535	0.0642242365829749	-0.0437460761888033	-0.158568613050157	-0.0821659707539881	0.153351905616563	-0.152586373587005	0.204229271288359	-0.0818246210083893	0.0772708591027054	0.130729709043393	-0.0364325095995575	-0.144768470667404	-0.0441966643404032	-0.238434432109617	0.00467101991518568	0.171827079802038	-0.0162420168253774	0.201545667527983	-0.248573455069204	0.175162901314062	-0.0203084118230664	-0.0628359317718497	-0.0879078097762023	0.012960152577119	0.200112054774572	-0.0146842156241835	-0.108706031097767	-0.0201548100762669	0.0993048258189369	0.107123550630278	-0.0424935528705049	0.0135210112070751	0.0931786922841699	-0.0401070521688558	-0.0772283770801232	-0.110228479416033	-0.00727822044820833	0.243287446855727
17	KO	04m.4	4	20.2	18.2	18.4	0.91089106	9.9	158135.0	1.6164501526527448	0.106042112650977	-0.0540070909095688	-0.177571735738772	-0.0774831884302442	0.049084434846801	-0.046872723015183	0.147693595714499	-0.0145746285677107	0.0135015627123653	0.10704609130856	0.0940363651949069	0.0472029823510214	0.0572054164552068	-0.30768943048732	-0.0059683164166624	0.0947249169667091	0.0496180783544343	-0.0447798582190177	0.00882043586396704	0.0185506754085707	0.101200656102769	-0.0229529834857733	-0.0829797010227006	0.0633879986452872	0.0432229424340918	-0.293884988071572	-0.0305152240471429	0.0771785615823609	-0.183387241714985	0.043894972523187	-0.0898307780346145	0.114384993634765	0.202655013448885	0.0125238665366774	0.183196421159527	-0.136626051258602	0.148389719069847	-0.0338780995887657	-0.289461705472315	-0.109114271178087	-0.187652187921203	-0.116812174539074	-0.0908531629908656	-0.112033390549551	0.0280439115713892	0.0405386393467748	0.100909090932473
18	KO	12m.1	12	25.0	22.5	22.5	0.9	10.0	157066.0	1.8239820836095675	0.119236069630741	0.172431926796353	0.0147488435814228	-0.125794112829302	-0.102862427846993	-0.113363010769054	-0.0524038600146412	-0.113338024794998	-0.000126543382904585	-0.0260469659318465	-0.118591733392999	-0.167415425779043	-0.101158403786318	-0.055962848389764	0.0655095453010132	-0.00790790556327919	0.228121882780164	-0.120923965583107	0.0203510976428447	0.140447931152679	0.0837171860261208	0.0662185635586255	0.0648428129550205	0.0737040054824314	-0.0794897141470881	-0.0354113476645675	0.000413117387162099	-0.0028811614219435	0.0572103711024042	0.0893701969323907	-0.0109182745955742	-0.122572665444314	-0.077534399140414	0.0206496948166458	-0.186205163154963	0.123536383033832	0.132559517277653	-0.141343483597361	-0.155313069424778	-0.0912836820598881	0.0360014786200407	-0.0425330606225141	0.104415883804345	0.0976115158412257	0.159374665151406	-0.053145422467878	0.00382440753285096
19	KO	12m.1	12	26.6	21.6	22.1	0.83082706	18.8	165862.0	1.344162977452093	-0.145251196168877	0.237321463072457	-0.0735775464331157	-0.17200781009763	0.0565517037646346	0.0925289060158433	-0.0976806204104049	-0.260765890423138	0.0230563894437304	0.153449660166528	0.0542624814934158	-0.207977722850072	-0.201565676435533	-0.153778108744479	0.0749165258061084	-0.0762591049400637	-0.0376085168976339	0.0296221120120671	0.168271640378582	-0.0319533550007258	-0.0326351914799477	0.15934707730786	0.0375574449285514	-0.0245863295205976	0.0526355391699745	-0.169186303604925	-0.00255739478001461	0.038395375364819	0.0615254794707114	0.0343417335185873	-0.0497987330542932	0.0265182783133035	0.00240802492514564	-0.0348954343608658	0.063393283997637	0.0814623964222558	-0.0736130148262125	-0.0174917610472262	-0.0383509655696539	0.000986411754022873	-0.0265631531960211	0.0920572978324438	0.0306960137130984	0.0153920055488745	-0.0684290527705584	0.00555564705559382	-0.0370587349699839
20	KO	12m.2	12	19.1	16.8	16.8	0.8795811	12.04	181427.0	1.406900780582906	-0.0983648339846512	0.159343115542861	-0.0249821914610057	-0.108196215434749	0.195678088399899	0.0203022821475653	0.096447806853895	0.100498618443729	0.160377728067044	0.0149970276607748	0.0755980364735236	-0.00616292573900484	0.310386573206956	-0.127012807518666	0.062816029266099	-0.0287990178887536	0.0864893091829799	0.0826214347547978	-0.146625940018923	0.00421309526453029	0.208820238809406	0.0176415541655134	0.0214253815173609	0.00662407765888046	-0.0727606555261968	0.155609329471764	0.10136526238998	-0.0595764536370743	0.0935744795222929	-0.158200558676984	-0.116415981267289	0.0492063703908992	-0.0235775849296155	-0.0100389533543351	-0.00565374464761772	-0.0239618830600943	-0.00544215964736022	0.0459422378515125	0.0419333416315117	-0.1839758034702	0.0281655078654772	0.0396898475814518	0.0367160749805043	0.042767644917458	0.0533709381596238	-0.121519003134406	0.119630606606516
21	KO	12m.2	12	19.2	15.7	16.1	0.8385416	18.23	172806.0	1.72145513649028	-0.10690797437076	0.135472198141003	0.0989787044860081	0.017056716693197	-0.0570455706155995	0.125904640864277	0.0886855330199126	0.0730061475275852	0.0841960239449918	0.0931541810598727	-0.0598876155891165	0.0879017933823976	0.138883646690335	-0.142486298915611	-0.0153949687004688	-0.0466430667302057	0.205612200168395	0.0910900893446014	0.0577528792209252	0.000695430451728637	-0.0597943995345904	-0.107392988704099	-0.0273507443006295	-0.00461934262191681	0.195122143639265	0.144637794333992	0.010746053837892	-0.00294011112268872	0.0148395192471451	0.132501390226142	-0.0660559847458375	-0.0518079131415283	0.0938219128210142	-0.208560192624812	-0.115232588843325	0.241697582217302	0.0705197663932242	-0.144835337616968	0.225084078134112	-0.0505133757404227	0.0609722812663698	0.0954777321303985	-0.0332215467843779	-0.110924286064768	0.168402292790123	0.220266830877297	0.0136839168987829
22	KO	12m.3	12	23.7	20.3	20.3	0.85654	14.35	147795.0	1.61526766209988	-0.145028286016851	0.211756141241109	0.165439452223142	0.125496821811535	-0.0753406112377331	0.0121705096662517	-0.037450457598719	0.0188866408366302	0.210905059387762	-0.0425574902466711	-0.176668252225929	-0.103129675313116	-0.169079672148263	0.0518097802695715	0.0271720146222161	0.0844918901994613	0.277369144527092	-0.147300068753903	-0.138915154033718	-0.0547666405655325	-0.106294510420494	0.113182775031702	-0.0348758100447952	-0.0482739434416345	0.0473633733108255	-0.00724015628891692	0.0734025236694442	-0.0111030885189265	-0.194107388659519	-0.0906574846079943	0.000290858461255199	0.0921538432748548	-0.0964647570521802	-0.0787704930410116	-0.0280118293135912	-0.114987635524365	0.0528606910879931	0.178705536195625	-0.0136545856720555	0.0671488927823735	-0.0593022022730138	-0.0384467268361396	0.101942007199781	0.0631592309555969	-0.0107841291913613	0.0269640057421668	-0.0545841314782133
23	KO	12m.3	12	23.3	21.0	21.1	0.90557945	9.87	122272.0	1.90759909366752	0.114473254873029	0.170692899300136	0.0221025764239507	-0.109559810909045	0.0713212737946831	0.00929701244333734	-0.193404923394966	-0.170636755990854	0.122982223697542	-0.0809019953105782	-0.0622226403765925	0.113606274029533	0.00185402241307703	0.120466840774127	-0.254004401394284	0.0559897116630019	0.0423874878184471	-0.0602950721335783	-0.0111705887858142	-0.223219480082232	0.00415590744819611	-0.0444879364995739	-0.0344616316284518	0.148874533983048	-0.143512535970237	-0.191004495962801	-0.122000139543906	-0.0411669419162107	-0.0592986452025536	-0.168226512398117	0.0410452721732004	0.0449563647018103	0.142396678404532	-0.0207937917321599	0.155120855188014	0.0431035637881067	-0.0397023775110603	0.00320345967325725	-0.000388792918554001	-0.139417831240971	0.122910558129006	0.00345422509312526	-0.0625352628478881	-0.00899234115253161	-0.120656302290948	-0.061835954767659	0.0856144570792809
24	KO	12m.4	12	18.8	14.6	15.3	0.81382984	22.34	143776.0	1.6707677451041387	-0.0511405982078847	0.208857147936209	0.136153060970144	0.0296192367309867	-0.0318412193426992	-0.0385070477134339	0.0367649639844974	0.0601211376358343	-0.0946179557056214	0.135854877430312	0.119876306845633	0.0533139809120441	-0.0105550158912119	0.106732151266858	-0.120866503340677	0.229038398900611	0.0165733885038335	-0.144085880248119	-0.201944422044997	-0.0310025559908439	0.00444443375323963	-0.137684801257723	0.121296240580786	-0.060406372726125	0.134985860974117	-0.165381105449247	0.113737089425111	-0.123720034217408	0.222111946442107	-0.00600799331561352	0.00337370453103364	0.13134271339954	0.145092174733264	0.0120852321916958	-0.00294705315089998	-0.020939930038185	0.00578530842960113	-0.0402587899979009	-0.0112631906868163	-0.0917879758102009	-0.0738272953675356	-0.0735636091564794	0.0890619222218113	-0.163465651711277	-0.0330848166029103	0.0322825170701274	-0.0923017976758603
25	KO	12m.4	12	19.0	14.2	14.2	0.7473684	25.26	146547.0	1.702601907806098	-0.0384956028726935	0.179146530229536	0.0707956127202629	-0.00849215351626139	-0.0487115261814509	-0.0108411420402535	0.116444886900093	0.155059664827668	-0.0300516613158733	0.154703377875378	-0.0150118114745299	0.0706153799193195	-0.0269147290000624	0.0356264217253838	-0.0385208483902421	0.0682489888369532	0.0442898052422884	0.105352684971165	0.135526794708417	-0.191436852844453	-0.0224468708234902	0.0526133727776852	0.0737622738206634	-0.16266282406323	-0.013749762535305	0.0687831727145919	0.183165612284808	0.0055988419293768	-0.0435031914374477	-0.124695178515317	0.0510123254814305	0.0108989531580713	-0.0355228998446979	0.0341213141146861	-0.00113638403115263	0.0271666129629432	0.211313098791414	-0.0699436466672711	-0.0953089050416384	0.108446146926224	-0.0557502707643626	0.0604004155151562	-0.019956431076685	0.280720862625275	-0.0835312388629374	-0.240332339876688	0.184480997031867
26	KO	18m.1	18	23.0	17.8	18.0	0.7826087	22.61	142881.0	1.9382146234317141	-0.10469753866533	0.00789007736244569	0.00496665772061066	-0.0630815050798147	-0.131497216356183	0.306280660765291	-0.168178158787263	0.109664530379214	-0.0992604046780466	-0.0263036414962703	0.347383418453589	-0.0137644261391763	-0.225474938432673	-0.0565291363699344	-0.00386016142858353	-0.00705291327093749	-0.0651645493956775	-0.113061825816294	-0.0734385735894292	0.00376573206314082	-0.10316463095058	0.00698140023270288	0.139723020844417	0.178924793840593	-0.167997613802801	0.241688085566587	0.0949099230842506	0.163949967523315	0.158519471282628	0.0719012035241936	-0.0400203988960991	0.0343399275023172	-0.0496079538668441	0.0305900550768068	0.105152170025428	-0.0666903007629867	0.0418738403831198	-0.0584315496593762	-0.0514055253626578	0.0647992705732233	0.0532229259350917	0.0241862330577123	-0.0206147647639463	0.0965116717994567	0.0198903320134659	0.0254135655716896	0.0397460810775837
27	KO	18m.1	18	23.4	16.1	17.1	0.7307693	31.2	131717.0	2.000476940214477	0.116891180304351	0.0505008779854747	-0.0734864274169601	-0.11409974513814	-0.0569608017151463	0.0699657939396726	-0.192704960703602	0.0730461340786493	-0.0622509604058366	0.00267160884045217	0.144508100049474	0.125232658398643	-0.274291520059132	0.016012430317165	0.0609826049781198	-0.0137445558560652	0.175730999301141	-0.108335456863909	-0.223276454392191	0.0371503750906872	0.0424204906691366	0.0441616297440626	-0.0177840515971386	0.0250061209721105	0.134929466042754	0.110315725237662	0.0116786084606183	0.094446215702871	-0.0400423812741484	-0.108435202950652	0.206972402020018	0.0496805801139764	0.0382742867355549	0.065002921795181	0.0972154145916437	-0.00825207714954372	-0.0667837503865128	0.0165827515214814	0.20618935214643	-0.131212232235138	0.0444319074153627	0.111492043785483	0.0579047119207624	-0.176202224053865	0.156866181461793	-0.131846237319546	0.000232102253511871
28	KO	18m.2	18	23.9	17.5	18.8	0.78661084	26.78	134836.0	1.9677480378298424	0.0939480783658304	-0.060674456295787	-0.0291354638196957	-0.115576083335653	-0.0952632222836088	0.0145311330914369	-0.0468010334058308	-0.0478983454661664	-0.054214773073539	-0.0477692262706193	0.0851171946975159	0.229405488437215	-0.0287676803020429	-0.107101361507892	0.0118960508563839	-0.0381105180501961	-0.0207439792145927	0.00639002874930789	-0.19155954217146	-0.0345880401763206	-0.0857564154597555	-0.00870788556552729	-0.103663103846751	-0.0850986239502063	-0.0176887978933716	0.0605739780961112	0.115610842405337	0.0618199305075951	-0.0039472912724226	-0.182985471048188	-0.254722058304275	-0.197027743394354	-0.264559855131156	-0.136228756291548	-0.0816104713853153	-0.00667947545286224	0.0361468105878398	0.0791245424192528	-0.151710884887457	-0.0825196340105007	0.0792187028333227	0.210711675089815	-0.141281349691817	0.0543004508979716	-0.0533479239882899	-0.049788912239734	-0.155941128883944
29	KO	18m.3	18	18.0	14.0	14.3	0.79444444	22.22	123613.0	1.7384329048779181	0.140446320920922	-0.0112480927192979	0.0366201042123204	-0.108978097846696	0.160374884906884	0.0986880226341646	0.172339881721066	-0.0441560821871553	-0.109785728150045	-0.130201455807595	0.0927646514279323	0.0163701817578072	-0.0214580933671505	-0.298296198447069	-0.205624337591113	-0.0719136101675946	0.142368486556396	-0.0372470622151264	-0.00424875207426983	-0.0763661911266802	-0.198880417385418	-0.0609022564517259	0.141584733302996	-0.0301397408994748	-0.107884478713369	0.159172000635089	0.00554460049844667	0.000265294452177073	0.0449822836283695	0.0137161493159104	0.0236101722371286	-0.0353348798128035	-0.0488743603931337	0.055693581409869	-0.131450556451198	-0.106312633395022	0.0107613515007656	0.0756522462171487	0.117557186348131	-0.0123782723051472	0.0291250491287012	-0.0641278590077275	0.0778674480615333	0.0196108730462608	-0.105920050159714	-0.0242083690167764	0.22282490121871
30	KO	18m.3	18	19.2	18.4	19.1	0.9947916	4.17	139002.0	2.375824801884514	0.17010915172	-0.0212920650652529	0.143871970537153	-0.115487371163014	-0.0643022517819015	0.0977869277069792	0.11854991252252	0.146632872779627	-0.00865121668309275	-0.0953364921485272	-0.113102738263801	-0.0990039332332848	-0.143458639757858	0.0188330727409477	0.00140735871024718	-0.120761987903372	-0.0519727442412454	0.0115339336892882	0.0794748161586014	0.0722312308429041	-0.0412126579703191	-0.0132024317721094	0.124646694799775	-0.00730422969806258	-0.0731122573756955	-0.152103556995065	-0.0218038275071841	0.124514232011833	-0.240472580771721	-0.0631581729017288	-0.27672429568275	-0.0362748729655526	-0.0361175457711296	-0.0590920154795227	-0.131720227362736	-0.0670424206278897	-0.125729253665164	-0.0545603548448182	0.059944172984253	-0.0820959867642251	-0.147225807502142	0.0761118807490084	-0.0446655072378877	-0.109053051134631	-0.133532240134571	0.155372367863674	0.160624486620322
